Date,MMWR_week,Location,Distributed,Administered,Admin_Per_100K,Recip_Administered,Administered_Dose1_Recip,Series_Complete_Yes,Additional_Doses,Second_Booster,Administered_Bivalent
01/05/2022,1,WV,3354195,2512452,140192,2503876,1114924,990374,382401,,
01/05/2022,1,NJ,18777785,15136945,170419,15565362,7493073,6289684,2224070,,
01/05/2022,1,OH,19956485,16126222,137959,16004979,7104724,6486699,2778992,,
01/05/2022,1,PR,6566000,5985123,187404,5984508,2856233,2468250,742967,,
01/05/2022,1,GU,281460,294403,174731,294941,141227,127315,33213,,
01/05/2022,1,NH,2958020,2418657,177880,2407642,1354105,916429,134140,,
01/05/2022,1,ND,1193740,1022258,134144,997944,476513,402460,149643,,
01/05/2022,1,AK,1318725,1031775,141041,1030747,477467,413413,146742,,
01/05/2022,1,MS,4586295,3514909,118103,3534136,1673591,1450175,430552,,
01/05/2022,1,US,618076045,513839973,154767,513839973,245278020,206797799,72262703,,
01/05/2022,1,MT,1733335,1449685,135639,1448471,664715,578392,233055,,
01/05/2022,1,MA,14758730,13143493,190693,13200595,6291954,5160634,2060618,,
01/05/2022,1,UT,5418250,4561308,142276,4517413,2168328,1891986,591029,,
01/05/2022,1,AZ,12623930,10606986,145726,10391557,4929173,4170464,1305538,,
01/05/2022,1,KY,7466735,5948800,133152,5978980,2805433,2432111,889505,,
01/05/2022,1,AL,8071240,5681793,115880,5769522,2886070,2346404,661457,,
01/05/2022,1,WA,15195645,12707305,166874,12756265,5786904,5189138,2042097,,
01/05/2022,1,MO,9932915,8128926,132448,8053958,3839485,3261751,1110698,,
01/05/2022,1,MD,13416450,10540160,174342,10624717,4892229,4270570,1664682,,
01/05/2022,1,NY,39444725,34724690,178500,34731129,16489335,14031397,4801768,,
01/05/2022,1,SD,1590195,1274364,144051,1284423,631856,507949,178411,,
01/05/2022,1,VA,16953825,14657741,171726,14614319,6791673,5827822,2222682,,
01/05/2022,1,NV,5098450,4366397,141759,4323046,2157231,1747407,530466,,
